Name,Latitude,Longitude,Color
Nebraska,40.820636,-96.705627,#f5002f
Nevada,39.546942,-119.817533,#003366
New Mexico,35.066981,-106.628294,#c10037
New Mexico State,32.279662,-106.741108,#8b2346
North Carolina,35.906949,-79.047851,#6699cc
North Carolina State,35.800802,-78.719447,#cb092f
North Texas,33.208321,-97.157751,#00a651
Northern Illinois,41.933909,-88.777816,#252524
Northwestern,42.06539,-87.692521,#520063
Notre Dame,41.698336,-86.233879,#b18d03
Ohio,39.321038,-82.102927,#00694e
Ohio State,40.001689,-83.019687,#bb0000
Oklahoma,35.205841,-97.442334,#841617
Oklahoma State,36.12568,-97.066464,#ff7700
Old Dominion,36.8888543,-76.3047588,#004677
Oregon,44.058271,-123.068477,#094c3a
Oregon State,44.559504,-123.281404,#c34500
Penn State,40.812195,-77.8561,#011e41
Pittsburgh,40.446735,-80.015727,#969261
Purdue,40.434464,-86.918458,#8d744b
Rice,29.716318,-95.40934,#002e6f
Rutgers,40.513565,-74.465293,#d21034
San Diego State,32.783136,-117.11961,#a81933
San Jose State,37.319708,-121.868269,#005a8b
SMU,32.837712,-96.782712,#e51932
South Alabama,30.6730394,-88.0756116,#bf0d3e
South Carolina,33.973073,-81.019167,#73000a
South Florida,27.975974,-82.503338,#00573c
Southern Mississippi,31.328985,-89.331252,#ffab00
Stanford,37.434497,-122.161077,#8c1515
Syracuse,43.036234,-76.136239,#ff5a00
TCU,32.709702,-97.368046,#4d1979
Temple,39.900821,-75.167503,#990033
Tennessee,35.954988,-83.92497,#f77f00
Texas,30.283673,-97.73251,#cc5500
Texas A&M,30.609896,-96.340378,#500000
Texas State,29.8909784,-97.9255843,#ac9055
Texas Tech,33.591072,-101.872897,#252526
Toledo,41.657245,-83.613568,#002569
Troy,31.799559,-85.951827,#892034
Tulane,29.951051,-90.081306,#00331b
Tulsa,36.148917,-95.943769,#ffe075
UAB,33.511507,-86.842639,#00331a
UCF,28.608261,-81.192604,#8d744a
UCLA,34.161323,-118.167602,#0073CF
UMass,42.3773542,-72.536062,#872434
UNLV,36.086259,-115.016711,#828a8f
USC,34.014019,-118.288017,#ffcc00
Utah,40.76002,-111.848835,#cc0000
Utah State,41.751791,-111.811586,#003359
UTEP,31.773354,-106.507924,#ff5600
UTSA,29.417096,-98.4788704,#002244
Vanderbilt,36.144027,-86.808893,#997f3d
Virginia,38.031098,-78.513718,#0d3268
Virginia Tech,37.22,-80.41803,#660000
Wake Forest,36.130558,-80.25456,#9e7e38
Washington,47.650296,-122.301599,#363c74
Washington State,46.731819,-117.160463,#5e6a71
West Virginia,39.650151,-79.955083,#00447c
Western Kentucky,36.984731,-86.459479,#b01e24
Western Michigan,42.285697,-85.60112,#95774d
Wisconsin,43.069936,-89.412662,#cd1543
Wyoming,41.311693,-105.568252,#492f24
Abilene Christian Wildcats,32.471156,-99.707944,#4E2683
Alabama A&M Bulldogs,34.782474,-86.568929,#750000
Alabama State Hornets,32.36318,-86.292447,#FECB09
Albany Great Danes,42.685164,-73.823984,#3D2777
Alcorn State Braves,31.876847,-91.142514,#42094A
Arkansas-Pine Bluff Golden Lions,34.246681,-92.021227,#EEBB00
Austin Peay Governors,36.535295,-87.35487,#8E0B0B
Bethune-Cookman Wildcats,29.210406,-81.030629,#841B35
Brown Bears,41.82626,-71.403301,#543019
Bryant Bulldogs,41.921646,-71.538291,#702D07
Bucknell Bison,40.954752,-76.883955,#000064
Butler Bulldogs,39.84451,-86.165557,#0D1361
Cal Poly Mustangs,35.303043,-120.662498,#123C31
Campbell Fighting Camels,35.407162,-78.740312,#FF8931
Central Arkansas Bears,35.079004,-92.457397,#4F2683
Central Connecticut State Blue Devils,41.691854,-72.766807,#1B49A2
Charleston Southern Buccaneers,32.981614,-80.070934,#00447d
Chattanooga Mocs,35.046537,-85.297304,#EEB311
The Citadel Bulldogs,32.797168,-79.96047,#002B5d
Colgate Raiders,42.817912,-75.535008,#8B011D
Columbia Lions,40.80767,-73.962257,#7CC2F1
Cornell Big Red,42.446689,-76.476538,#D60027
Dartmouth Big Green,43.703747,-72.288408,#005730
Davidson Wildcats,35.500046,-80.842735,#E51937
Dayton Flyers,39.739856,-84.178662,#151A66
Delaware Fightin Blue Hens,39.677499,-75.752041,#01539B
Delaware State Hornets,39.186198,-75.541649,#F11A2D
Drake Bulldogs,41.601965,-93.65598,#0053A0
Duquesne Dukes,40.437328,-79.990597,#002D63
ETSU,36.302166,-82.369786,#025BA3
Eastern Illinois Panthers,39.478349,-88.177643,#0675D0
Eastern Kentucky Colonels,37.738616,-84.301829,#730B27
Eastern Washington Eagles,47.490906,-117.584567,#D72E34
Elon Phoenix,36.103841,-79.504344,#AEA460
Florida A&M Rattlers,30.426233,-84.287775,#F89728
Fordham Rams,40.861521,-73.885299,#830032
Furman Paladins,34.924839,-82.438477,#3A1769
Gardner-Webb Runnin Bulldogs,35.248388,-81.67069,#BF2C37
Georgetown Hoyas,38.909444,-77.075164,#49487C
Grambling State Tigers,32.524291,-92.713645,#F88400
Hampton Pirates,37.021726,-76.336248,#0067AC
Harvard Crimson,42.374667,-71.117291,#C41130
Holy Cross Crusaders,42.238169,-71.805847,#1B2154
Houston Baptist Huskies,29.69426,-95.515641,#702D08
Howard Bison,38.921824,-77.020082,#003A63
Idaho State Bengals,42.861055,-112.427216,#FF8400
Illinois State Redbirds,40.511189,-88.992412,#E61731
Incarnate Word Cardinals,29.467232,-98.466414,#CB333B
Indiana State Sycamores,39.470755,-87.408364,#00669A
Jackson State Tigers,32.298197,-90.206938,#123297
Jacksonville Dolphins,30.35399,-81.605705,#008568
Jacksonville State Gamecocks,33.82228,-85.767163,#E53F40
James Madison Dukes,38.438884,-78.874433,#450084
Kennesaw State,34.0289489,-84.5676363,#F0B410
Lafayette Leopards,40.698275,-75.209259,#9A0024
Lamar Cardinals,30.042099,-94.073814,#ED1B2E
Lehigh Mountain Hawks,40.605685,-75.377777,#994708
Liberty Flames,37.353239,-79.178853,#02298A
Maine Black Bears,44.897881,-68.668714,#2E8DC4
Marist Red Foxes,41.722723,-73.93418,#EF1216
McNeese State Cowboys,30.179653,-93.216237,#FFD51D
Mercer Bears,32.830946,-83.649087,#FF7F27
Mississippi Valley State Delta Devils,33.512184,-90.343044,#054105
Missouri State Bears,37.201279,-93.281007,#5F0000
Monmouth Hawks,40.279247,-74.006395,#051844
Montana Grizzlies,46.86003,-113.985214,#751D4A
Montana State Bobcats,45.667715,-111.049376,#003875
Morehead State Eagles,38.186741,-83.43406,#094FA3
Morgan State Bears,39.341915,-76.583934,#014786
Murray State Racers,36.615243,-88.322697,#002148
New Hampshire Wildcats,43.136804,-70.933464,#004990
Nicholls State Colonels,29.789595,-90.803375,#C41230
Norfolk State Spartans,36.84841,-76.262498,#046546
North Carolina A&T Aggies,36.073956,-79.772265,#0505AA
North Carolina Central Eagles,35.973978,-78.896985,#880023
North Dakota,47.926954,-97.080345,#702D09
North Dakota State Bison,46.894323,-96.803262,#01402A
Northern Arizona Lumberjacks,35.185945,-111.655619,#003976
Northern Colorado Bears,40.404248,-104.695673,#13558D
Northern Iowa Panthers,42.516556,-92.464135,#473282
Northwestern State Demons,31.749819,-93.094711,#492F91
Penn Quakers,39.950559,-75.196502,#082A74
Portland State Vikings,45.511535,-122.684734,#005E60
Prairie View A&M Panthers,30.095311,-95.980629,#5A185C
Presbyterian Blue Hose,34.463683,-81.870267,#194896
Princeton Tigers,40.346413,-74.654653,#F9A13A
Rhode Island Rams,41.486833,-71.529279,#3691C6
Richmond Spiders,37.574124,-77.539659,#9E0712
Robert Morris Colonials,40.520797,-80.213177,#00214D
Sacramento State Hornets,38.560214,-121.42386,#00573e
Sacred Heart Pioneers,41.221705,-73.242288,#CE1040
Saint Francis Red Flash,40.5049,-78.637862,#F41650
Sam Houston State Bearkats,30.714786,-95.547667,#F78F1E
Samford Bulldogs,33.464438,-86.791241,#005485
San Diego Toreros,32.77157,-117.190486,#2f99d4
Savannah State Tigers,32.024632,-81.064081,#280298
South Carolina State Bulldogs,33.497548,-80.850363,#7E1812
South Dakota Coyotes,42.785354,-96.925335,#CD1241
South Dakota State Jackrabbits,44.317723,-96.785345,#005DAB
Southeast Missouri State Redhawks,37.315474,-89.528532,#E2373E
Southeastern Louisiana Lions,30.517278,-90.470266,#007550
Southern Illinois Salukis,37.715908,-89.221001,#85283D
Southern Jaguars,30.52335,-91.191705,#004B97
Southern Utah Thunderbirds,37.675533,-113.070452,#D12947
Stephen F. Austin Lumberjacks,31.622535,-94.646337,#393996
Stetson Hatters,29.035788,-81.301843,#18581C
Stony Brook Seawolves,40.915004,-73.124034,#115F9A
Tennessee State Tigers,36.168654,-86.82832,#383C84
Tennessee Tech Golden Eagles,36.176968,-85.50716,#5A4099
Texas Southern Tigers,29.721694,-95.362068,#6A0403
Towson Tigers,39.393489,-76.611292,#FFC229
UC Davis Aggies,38.539019,-121.755939,#183563
UT Martin Skyhawks,36.342274,-88.864825,#FF6700
Valparaiso Crusaders,41.463215,-87.041888,#794500
Villanova Wildcats,40.036142,-75.340869,#123d7C
VMI Keydets,37.789082,-79.44216,#E52D37
Wagner Seahawks,40.614938,-74.094146,#00483A
Weber State Wildcats,41.192736,-111.943538,#29086B
Western Carolina Catamounts,35.310923,-83.180001,#492F92
Western Illinois Leathernecks,40.470719,-90.684714,#6812BB
William & Mary Tribe,37.271133,-76.717787,#103217
Wofford Terriers,34.962005,-81.933042,#FFD700
Yale Bulldogs,41.309051,-72.928448,#004A81
Youngstown State Penguins,41.107586,-80.648017,#E51938
Centre,37.6457,-84.782,#ffff00
Detroit,42.4141,-83.1379,#A6093D
Washington & Jefferson,40.1711,-80.2412,#9e292b
Chicago,41.7886,-87.5987,#800000
Gonzaga,47.6672,-117.4024,#2D2161
Xavier,39.1494,-84.4745,#002144
Wichita State,37.7189,-97.2934,#F8D429
Creighton,41.265,-95.9446,#6CADDE
Seton Hall,40.743,-74.2471,#004488
Marquette,43.0382,-87.9298,#FFCC00
Providence,41.8441,-71.4382,#000000
St. Johns,40.7216,-73.7947,#CF102D
Depaul,41.8781,-87.6274,#E4002B
UCLA Campus,34.0689,-118.4452,#0073CF
Sewanee,35.2052,-85.9177,#582C83
Arizona Diamondbacks,33.445277777778,-112.06694444444,#a71931
Atlanta Braves,33.8907,-84.4678,#ce1142
Baltimore Orioles,39.283888888889,-76.621666666667,#df4601
Boston Red Sox,42.346388888889,-71.0975,#cc122c
Chicago Cubs,41.948333333333,-87.655555555556,#cc3433
Chicago White Sox,41.83,-87.633888888889,#c4ced4
Cincinnati Reds,39.0975,-84.506666666667,#c6011f
Cleveland Indians,41.495833333333,-81.685277777778,#e31937
Colorado Rockies,39.756111111111,-104.99416666667,#31006f
Detroit Tigers,42.339166666667,-83.048611111111,#0c2c56
Houston Astros,29.756944444444,-95.355555555556,#002d62
Kansas City Royals,39.051388888889,-94.480555555556,#004687
Los Angeles Angels of Anaheim,33.800277777778,-117.88277777778,#ba0021
Los Angeles Dodgers,34.073611111111,-118.24,#005a9c
Miami Marlins,25.778056,-80.219722,#0077c8
Milwaukee Brewers,43.028333333333,-87.971111111111,#0a2351
Minnesota Twins,44.981667,-93.278333,#002b5d
New York Mets,40.756986,-73.845783,#002d72
New York Yankees,40.829569,-73.926392,#003087
Oakland Athletics,37.751666666667,-122.20055555556,#003831
Philadelphia Phillies,39.905833333333,-75.166388888889,#284898
Pittsburgh Pirates,40.446944444444,-80.005833333333,#fdb827
San Diego Padres,32.707333,-117.156944,#05143f
San Francisco Giants,37.778333333333,-122.38944444444,#000001
Seattle Mariners,47.591388888889,-122.3325,#005c5c
St. Louis Cardinals,38.6225,-90.193056,#c41e3a
Tampa Bay Rays,27.768333333333,-82.653333333333,#092c5c
Texas Rangers,32.751388888889,-97.082777777778,#c0111f
Toronto Blue Jays,43.641388888889,-79.389166666667,#134a8e
Washington Nationals,38.872778,-77.0075,#11225b
Atlanta United FC,33.7647,-84.4011,#80000b
Chicago Fire Soccer Club,41.764722222222,-87.806111111111,#af2626
Colorado Rapids,39.805555555556,-104.89194444444,#91022d
Columbus Crew SC,40.009444444444,-82.991111111111,#000002
D.C. United,38.889722222222,-76.971666666667,#000003
F.C. Dallas,33.154458333333,-96.835158333333,#cf0032
Houston Dynamo,29.7522,-95.3524,#f36600
Los Angeles Galaxy,33.864444444444,-118.26111111111,#00245d
Minnesota United FC,44.976,-93.225,#9bcde4
Montreal Impact F.C.,45.563055555556,-73.5525,#122089
New England Revolution,42.090944444444,-71.264344444444,#0a2141
New York City FC,40.829569,-73.926392,#6caddf
New York Red Bulls,40.736666666667,-74.150277777778,#d50031
Orlando City SC,28.539166666667,-81.402777777778,#633492
Philadelphia Union,39.832222,-75.378889,#042234
Portland Timbers,45.521388888889,-122.69166666667,#004812
Real Salt Lake,40.5829,-111.893,#a50531
San Jose Earthquakes,37.350556,-121.936667,#0051ba
Seattle Sounders FC,47.595277777778,-122.33166666667,#4f8a10
Sporting Kansas City,39.1218,-94.8237,#91b0d5
Toronto FC,43.632778,-79.418611,#d80016
Vancouver Whitecaps FC,49.276666666667,-123.11194444444,#12264c
Atlanta Hawks,33.757222222222,-84.396388888889,#e13a3e
Boston Celtics,42.366302777778,-71.062227777778,#008348
Brooklyn Nets,40.68265,-73.974689,#061922
Charlotte Hornets,35.225,-80.839166666667,#1d1160
Chicago Bulls,41.880555555556,-87.674166666667,#ce1143
Cleveland Cavaliers,41.496388888889,-81.688055555556,#860038
Dallas Mavericks,32.790555555556,-96.810277777778,#0053bc
Denver Nuggets,39.748611111111,-105.0075,#4d90cd
Detroit Pistons,42.3412,-83.0549,#006bb7
Golden State Warriors,37.750277777778,-122.20305555556,#006bb8
Houston Rockets,29.750833333333,-95.362222222222,#ce1144
Indiana Pacers,39.763888888889,-86.155555555556,#00275d
Los Angeles Clippers,34.043055555556,-118.26722222222,#ed174d
Los Angeles Lakers,34.043055555556,-118.26722222222,#552582
Memphis Grizzlies,35.138333333333,-90.050555555556,#0f586c
Miami Heat,25.781388888889,-80.188055555556,#98002e
Milwaukee Bucks,43.0436,-87.9182,#00471b
Minnesota Timberwolves,44.979444444444,-93.276111111111,#002a5c
New Orleans Pelicans,29.948888888889,-90.081944444444,#002b5f
New York Knicks,40.750555555556,-73.993611111111,#006bb6
Oklahoma City Thunder,35.463333,-97.515,#007dc4
Orlando Magic,28.539167,-81.383611,#007dc3
Philadelphia 76ers,39.901111111111,-75.171944444444,#ed174c
Phoenix Suns,33.445833333333,-112.07138888889,#e56020
Portland Trail Blazers,45.531666666667,-122.66666666667,#e03a3f
Sacramento Kings,38.58,-121.5,#502d7f
San Antonio Spurs,29.426944444444,-98.4375,#bac3c9
Toronto Raptors,43.643333333333,-79.379166666667,#ce1141
Utah Jazz,40.768333,-111.901111,#002b5c
Washington Wizards,38.898055555556,-77.020833333333,#e31837
Arizona Cardinals,33.5275,-112.2625,#97233f
Atlanta Falcons,33.7647,-84.4011,#a71930
Baltimore Ravens,39.278055555556,-76.622777777778,#241773
Buffalo Bills,42.7738,-78.787,#00338d
Carolina Panthers,35.225833333333,-80.852777777778,#0085ca
Chicago Bears,41.8625,-87.616666666667,#0b162a
Cincinnati Bengals,39.095444444444,-84.516038888889,#fb4f14
Cleveland Browns,41.506111111111,-81.699444444444,#22150c
Dallas Cowboys,32.747777777778,-97.092777777778,#002245
Denver Broncos,39.743888888889,-105.02,#002246
Detroit Lions,42.34,-83.045555555556,#005a8b
Green Bay Packers,44.501388888889,-88.062222222222,#203731
Houston Texans,29.684722222222,-95.410833333333,#03202f
Indianapolis Colts,39.760056,-86.163806,#002c5f
Jacksonville Jaguars,30.323888888889,-81.6375,#006778
Kansas City Chiefs,39.048888888889,-94.483888888889,#c60c31
Los Angeles Chargers,33.864444444444,-118.26111111111,#002247
Los Angeles Rams,34.014167,-118.287778,#002243
Miami Dolphins,25.958055555556,-80.238888888889,#008e97
Minnesota Vikings,44.973889,-93.258056,#4f2683
New England Patriots,42.090944444444,-71.264344444444,#002242
New Orleans Saints,29.950833333333,-90.081111111111,#9f8958
New York Jets/Giants,40.8136,-74.0744,#0b2265
Oakland Raiders,37.751666666667,-122.20055555556,#a5acaf
Philadelphia Eagles,39.900833333333,-75.1675,#004953
Pittsburgh Steelers,40.446666666667,-80.015833333333,#ffb612
San Francisco 49ers,37.4034,-121.97,#aa0000
Seattle Seahawks,47.595277777778,-122.33166666667,#002241
Tampa Bay Buccaneers,27.975833333333,-82.503333333333,#c60c30
Tennessee Titans,36.166388888889,-86.771388888889,#002244
Washington Redskins,38.907777777778,-76.864444444444,#773141
Anaheim Ducks,33.8078,-117.877,#000007
Arizona Coyotes,33.5319,-112.261,#841F27
Boston Bruins,42.3663,-71.0622,#000008
Buffalo Sabres,42.875,-78.8764,#002E63
Calgary Flames,51.0375,-114.052,#E03A3d
Carolina Hurricanes,35.8033,-78.7219,#E03A3c
Chicago Blackhawks,41.8806,-87.6742,#E3263A
Colorado Avalanche,39.7486,-105.007,#8B2942
Columbus Blue Jackets,39.9693,-83.0061,#00285C
Dallas Stars,32.7906,-96.8103,#006A4E
Detroit Red Wings,42.3253,-83.0514,#EC1F26
Edmonton Oilers,53.5714,-113.456,#003778
Florida Panthers,26.1583,-80.3256,#C8213F
Los Angeles Kings,34.0431,-118.267,#000009
Minnesota Wild,44.9447,-93.1011,#025736
Montreal Canadiens,45.4961,-73.5694,#BF2F38
Nashville Predators,36.1592,-86.7786,#FDBB2F
New Jersey Devils,40.7336,-74.1711,#E03A3E
New York Islanders,40.7228,-73.5906,#00529B
New York Rangers,40.7506,-73.9936,#0161AB
Ottawa Senators,45.2969,-75.9272,#E4173E
Philadelphia Flyers,39.9011,-75.1719,#F47940
Pittsburgh Penguins,40.4394,-79.9892,#000000
San Jose Sharks,37.3328,-121.901,#05535D
St. Louis Blues,38.6267,-90.2025,#0546A0
Tampa Bay Lightning,27.9428,-82.4519,#013E7D
Toronto Maple Leafs,43.6433,-79.3792,#003777
Vancouver Canucks,49.2778,-123.109,#07346F
Las Vegas Knights,36.1026,-115.1783,#87704E
Washington Capitals,38.8981,-77.0208,#CF132B
Winnipeg Jets,49.8928,-97.1436,#002E62
Johns Hopkins,39.3299,-76.6205,#002D72
Washington (MO),38.6488,-90.3108,#007360
Denver,39.673,-104.9652,#8B2332
Colorado Mines,39.751,-105.2226,#92A2BD
Colorado College,38.8466,-104.8244,#D09B2C
Mississippi College,32.3345,-90.3305,#F2A900
St. Johns (MD),38.982,-76.4915,#fffff6
Washington & Lee,37.7905,-79.445,#023858
Catholic,38.9369,-76.9987,#990009
Grinnell,41.7491,-92.7201,#000017
Transylvania,38.0531,-84.4937,#fffff2
