Name,Latitude,Longitude,Color
Nebraska,40.820636,-96.705627,#f5002f
Nevada,39.546942,-119.817533,#003366
New Mexico,35.066981,-106.628294,#c10037
New Mexico State,32.279662,-106.741108,#8b2346
North Carolina,35.906949,-79.047851,#6699cc
North Carolina State,35.800802,-78.719447,#cb092f
North Texas,33.208321,-97.157751,#00a651
Northern Illinois,41.933909,-88.777816,#252524
Northwestern,42.06539,-87.692521,#520063
Notre Dame,41.698336,-86.233879,#b18d03
Ohio,39.321038,-82.102927,#00694e
Ohio State,40.001689,-83.019687,#bb0000
Oklahoma,35.205841,-97.442334,#841617
Oklahoma State,36.12568,-97.066464,#ff7700
Old Dominion,36.8888543,-76.3047588,#004677
Oregon,44.058271,-123.068477,#094c3a
Oregon State,44.559504,-123.281404,#c34500
Penn State,40.812195,-77.8561,#011e41
Pittsburgh,40.446735,-80.015727,#969261
Purdue,40.434464,-86.918458,#8d744b
Rice,29.716318,-95.40934,#002e6f
Rutgers,40.513565,-74.465293,#d21034
San Diego State,32.783136,-117.11961,#a81933
San Jose State,37.319708,-121.868269,#005a8b
SMU,32.837712,-96.782712,#e51932
South Alabama,30.6730394,-88.0756116,#bf0d3e
South Carolina,33.973073,-81.019167,#73000a
South Florida,27.975974,-82.503338,#00573c
Southern Mississippi,31.328985,-89.331252,#ffab00
Stanford,37.434497,-122.161077,#8c1515
Syracuse,43.036234,-76.136239,#ff5a00
TCU,32.709702,-97.368046,#4d1979
Temple,39.900821,-75.167503,#990033
Tennessee,35.954988,-83.92497,#f77f00
Texas,30.283673,-97.73251,#cc5500
Texas A&M,30.609896,-96.340378,#500000
Texas State,29.8909784,-97.9255843,#ac9055
Texas Tech,33.591072,-101.872897,#252526
Toledo,41.657245,-83.613568,#002569
Troy,31.799559,-85.951827,#892034
Tulane,29.951051,-90.081306,#00331b
Tulsa,36.148917,-95.943769,#ffe075
UAB,33.511507,-86.842639,#00331a
UCF,28.608261,-81.192604,#8d744a
UCLA,34.161323,-118.167602,#0073CF
UMass,42.3773542,-72.536062,#872434
UNLV,36.086259,-115.016711,#828a8f
USC,34.014019,-118.288017,#ffcc00
Utah,40.76002,-111.848835,#cc0000
Utah State,41.751791,-111.811586,#003359
UTEP,31.773354,-106.507924,#ff5600
UTSA,29.417096,-98.4788704,#002244
Vanderbilt,36.144027,-86.808893,#997f3d
Virginia,38.031098,-78.513718,#0d3268
Virginia Tech,37.22,-80.41803,#660000
Wake Forest,36.130558,-80.25456,#9e7e38
Washington,47.650296,-122.301599,#363c74
Washington State,46.731819,-117.160463,#5e6a71
West Virginia,39.650151,-79.955083,#00447c
Western Kentucky,36.984731,-86.459479,#b01e24
Western Michigan,42.285697,-85.60112,#95774d
Wisconsin,43.069936,-89.412662,#cd1543
Wyoming,41.311693,-105.568252,#492f24
